CustomerID,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment
12346,347,1,77183.6,1,1,5,115,Hibernating
12347,24,7,4299.799999999999,5,5,5,555,Champions
12348,97,4,1797.24,2,4,4,244,At Risk
12349,40,1,1757.55,4,1,4,414,Promising
12350,332,1,334.3999999999999,1,1,2,112,Lost
12352,58,8,2506.0400000000013,3,5,5,355,Potential Loyalists
12353,226,1,89.0,1,1,1,111,Lost
12354,254,1,1079.4,1,1,4,114,Hibernating
12355,236,1,459.4,1,1,2,112,Lost
12356,44,3,2811.4300000000007,4,3,5,435,Loyal Customers
12357,55,1,6065.709999999999,3,1,5,315,Needs Attention
12358,23,2,1168.0599999999997,5,2,4,524,Promising
12359,79,4,6355.779999999999,3,4,5,345,Potential Loyalists
12360,74,3,2657.019999999999,3,3,5,335,Potential Loyalists
12361,309,1,189.9,1,1,1,111,Lost
12362,25,10,5226.230000000002,5,5,5,555,Champions
12363,131,2,552.0,2,2,3,223,Hibernating
12364,29,4,1308.0600000000002,5,4,4,544,Champions
12365,313,2,641.38,1,2,3,123,Hibernating
12367,26,1,168.9,5,1,1,511,Promising
12370,73,4,3412.189999999997,3,4,5,345,Potential Loyalists
12371,66,2,1887.9600000000003,3,2,4,324,Needs Attention
12372,93,3,1298.04,3,3,4,334,Potential Loyalists
12373,333,1,364.6,1,1,2,112,Lost
12374,47,1,742.9300000000002,4,1,3,413,Promising
12375,32,2,457.5000000000001,5,2,2,522,Promising
12377,337,2,1623.0800000000002,1,2,4,124,Hibernating
12378,151,1,3957.6200000000013,2,1,5,215,Hibernating
12379,103,2,852.24,2,2,3,223,Hibernating
12380,43,4,2724.8100000000004,4,4,5,445,Champions
12381,26,5,1821.91,5,4,4,544,Champions
12383,206,5,1772.1100000000004,1,4,4,144,At Risk
12384,50,2,585.2700000000001,4,2,3,423,Promising
12386,359,2,401.90000000000003,1,2,2,122,Lost
12388,37,6,2780.66,4,4,5,445,Champions
12390,101,1,549.8399999999999,2,1,3,213,Hibernating
12391,43,1,456.2099999999997,4,1,2,412,Promising
12393,94,4,1572.4000000000003,2,4,4,244,At Risk
12394,85,2,1272.4799999999998,3,2,4,324,Needs Attention
12395,41,12,3018.630000000002,4,5,5,455,Champions
12397,57,2,2409.900000000002,3,2,5,325,Needs Attention
12398,67,1,1635.6600000000005,3,1,4,314,Needs Attention
12399,141,4,1108.65,2,4,4,244,At Risk
12401,325,1,84.30000000000001,1,1,1,111,Lost
12402,345,1,225.6,1,1,1,111,Lost
12403,71,1,427.70000000000005,3,1,2,312,Needs Attention
12405,170,1,1710.3900000000003,2,1,4,214,Hibernating
12406,44,2,3415.3000000000015,4,2,5,425,Promising
12407,71,5,1708.120000000001,3,4,4,344,Potential Loyalists
12408,54,5,2878.350000000002,4,4,5,445,Champions
12409,100,3,11072.669999999998,2,3,5,235,Cant Lose Them
12410,330,2,693.33,1,2,3,123,Hibernating
12412,96,3,1217.5200000000004,2,3,4,234,Cant Lose Them
12413,88,3,758.0999999999998,3,3,3,333,Potential Loyalists
12414,239,3,562.41,1,3,3,133,Cant Lose Them
12415,46,21,123146.20999999982,4,5,5,455,Champions
12417,25,9,3625.2500000000014,5,5,5,555,Champions
12418,134,1,668.5799999999999,2,1,3,213,Hibernating
12420,85,1,600.3900000000001,3,1,3,313,Needs Attention
12421,37,4,807.0400000000001,4,4,3,443,Loyal Customers
12422,117,3,803.56,2,3,3,233,Cant Lose Them
12423,22,8,1859.3100000000002,5,5,4,554,Champions
12424,184,2,1760.9599999999998,2,2,4,224,Hibernating
12425,100,1,777.1999999999999,2,1,3,213,Hibernating
12426,216,1,582.73,1,1,3,113,Hibernating
12427,43,3,825.7999999999998,4,3,3,433,Loyal Customers
12428,47,9,7888.960000000008,4,5,5,455,Champions
12429,31,4,3641.500000000001,5,4,5,545,Champions
12430,65,1,256.40000000000003,3,1,2,312,Needs Attention
12431,57,15,6482.410000000003,3,5,5,355,Potential Loyalists
12432,64,5,5059.3200000000015,3,4,5,345,Potential Loyalists
12433,22,7,13161.790000000014,5,5,5,555,Champions
12434,106,2,806.14,2,2,3,223,Hibernating
12435,101,2,7829.89,2,2,5,225,Hibernating
12436,121,1,509.01,2,1,3,213,Hibernating
12437,23,18,4951.409999999999,5,5,5,555,Champions
12438,36,2,2906.8500000000013,5,2,5,525,Promising
12441,388,1,173.55,1,1,1,111,Lost
12442,25,1,172.06,5,1,1,511,Promising
12444,43,5,4985.659999999999,4,4,5,445,Champions
12445,44,1,133.4,4,1,1,411,Promising
12446,79,1,1002.3099999999997,3,1,4,314,Needs Attention
12447,265,1,476.49,1,1,2,112,Lost
12448,66,1,449.45000000000005,3,1,2,312,Needs Attention
12449,44,4,4007.8899999999994,4,4,5,445,Champions
12450,178,2,197.88000000000002,2,2,1,221,Lost
12451,32,5,9017.039999999997,5,4,5,545,Champions
12452,38,2,430.57000000000016,4,2,2,422,Promising
12453,156,1,707.0899999999999,2,1,3,213,Hibernating
12454,78,1,3528.34,3,1,5,315,Needs Attention
12455,95,6,2466.8600000000006,2,4,5,245,At Risk
12456,66,3,3181.0399999999995,3,3,5,335,Potential Loyalists
12457,88,7,2358.19,3,5,5,355,Potential Loyalists
12458,93,2,947.4000000000002,3,2,4,324,Needs Attention
12461,116,2,826.8800000000001,2,2,3,223,Hibernating
12462,40,2,1173.9900000000002,4,2,4,424,Promising
12463,75,4,1344.7800000000004,3,4,4,344,Potential Loyalists
12464,32,8,1212.0499999999997,5,5,4,554,Champions
12465,39,2,737.1500000000002,4,2,3,423,Promising
12468,209,2,729.54,1,2,3,123,Hibernating
12471,24,30,19824.050000000007,5,5,5,555,Champions
12472,54,7,6551.709999999999,4,5,5,455,Champions
12473,51,5,3933.9899999999993,4,4,5,445,Champions
12474,39,18,7373.5099999999975,4,5,5,455,Champions
12475,75,1,723.3800000000001,3,1,3,313,Needs Attention
12476,37,11,6801.300000000003,4,5,5,455,Champions
12477,44,6,12814.739999999994,4,4,5,445,Champions
12478,25,1,680.99,5,1,3,513,Promising
12479,33,1,507.4,5,1,3,513,Promising
12480,50,4,3281.6299999999997,4,4,5,445,Champions
12481,44,10,5596.3200000000015,4,5,5,455,Champions
